IdClasificacionVariable,IdClasificacion,IdVariable,IdSubVariable,Justificacion
1,1,2,,No declaró detención de los años 70 en su hoja de vida electoral.
2,1,7,4.0,Proceso de 1970 bajo condición de amnistía por persecución política.
3,2,5,,Vinculación con empresa Athena relacionada a presunta falsedad genérica y fraude contractual.
4,3,1,,Reporte de millonarios préstamos personales al partido APP (S/19.7 millones).
5,3,3,,Investigación del JEE por presunta vulneración del principio de neutralidad electoral.
6,4,7,2.0,Proceso por caso Chavín de Huántar archivado. No se estableció responsabilidad penal.
7,5,8,6.0,Acción de amparo contra PCM y MINSA por importación de vacunas COVID-19 (Exp. 00680-2021-0-3204).
8,6,7,1.0,Archivo definitivo del Caso Cócteles en cumplimiento de la sentencia del Tribunal Constitucional (Exp. 00299-2017).
9,7,9,8.0,Medida judicial de impedimento de salida del país vigente por 12 meses dictada en el marco de la investigación por colusión agravada.
10,8,3,,Informe de fiscalización del JEE concluye presunta vulneración al principio de neutralidad electoral.
11,8,7,3.0,"Corte Suprema excluyó al candidato del juicio por el caso del 7 de diciembre (Golpe de Estado), archivando dicho proceso específico."
12,10,7,2.0,Parte policial del 2012 en Comisaría de San Borja; el caso nunca fue judicializado ni derivó en denuncia fiscal.
13,13,2,,Antecedente de procedimiento administrativo ante el JEE por presunta omisión de información en declaración jurada de hoja de vida.
14,15,3,,Denuncias por presunto uso de recursos de la Municipalidad de SJL para fines proselitistas y actividades del Partido Demócrata Verde.
15,16,1,,Cuestionamientos mediáticos por relaciones comerciales entre APDAYC y empresas vinculadas a su círculo familiar mientras ejercía la presidencia.
16,17,2,,"Antecedente de exclusión por el JEE en 2021 por omitir ingresos privados superiores a S/ 50,000."
17,17,1,,Cuestionamientos por uso de vehículos vinculados a empresarios donantes de la municipalidad durante su gestión.
18,20,2,,Omisiones en hoja de vida (sentencia y bien patrimonial)
19,20,7,4.0,Absolución judicial posterior
20,21,2,,"No consignó sentencia civil firme de 2022 por ejecución de garantías (S/ 84,000) en su declaración ante el JNE."
21,22,3,,Infracción administrativa electoral por proselitismo en funciones públicas (Elecciones Municipales 2018).
22,24,1,,Investigación fiscal por financiamiento ilícito de campañas de Perú Libre.
23,24,4,,Extinción de dominio: Incautación de S/ 1.6 millones por presunto origen ilícito (2025).
24,24,7,3.0,Absuelto por la Corte Suprema en el caso Aeródromo Wanka (2025).
25,24,7,5.0,TC anuló sentencia de 2019 vinculada al caso La Oroya (2025).
26,24,9,8.0,Prisión preventiva confirmada (2026) y orden de captura vigente desde 2023.
27,26,2,,Candidatura inicialmente declarada improcedente por el JEE debido a sentencia de peculado; revocada por el JNE (Res. 0085-2026).
28,29,3,,Intervención fiscal en Palacio por presunto uso de bienes del Estado en beneficio personal.
29,29,5,,Cuestionamientos públicos por reunión extraoficial con directivos de Repsol tras derrame de petróleo.
30,30,1,,Financiamiento o conflicto de interés.
31,30,3,,Neutralidad / uso de recursos públicos
32,31,5,,"Vínculo con el personero legal del partido investigado por presunta ""fábrica de firmas""."
33,31,8,6.0,La candidata interpuso denuncia penal por tráfico de datos y falsificación contra los que resulten responsables (Acción proactiva).
34,34,6,,Participación activa en protestas con agresiones a la PNP y daños materiales a infraestructura del Estado.
35,34,5,,"Fórmula presidencial incluye a su hermano César Arturo Fernández Bazán, quien tiene sentencia vigente y condición de prófugo."
36,36,3,,Difusión de contenido oficial municipal con fines partidarios según Resolución N.° 05473-2025-JEE.
37,36,4,,Deuda coactiva con SUNAT por aproximadamente S/ 13 millones vinculada a Peruval Corp. S.A.
38,36,2,,Orden de retiro de propaganda electoral con invocaciones religiosas por vulnerar normativa del JNE.
